alert_code,cse_code,asset_code,severity,category,title,description,created_time,acknowledged_time,closed_time,status,disposition,analyst
ALT-2453,CSE-07,TR-OPS-14,CRITICAL,c2,Beaconing traffic to known suspicious external IP,Periodic low-volume outbound connections at fixed intervals,2026-07-08T08:55:00+05:30,2026-07-08T09:11:00+05:30,,IN_PROGRESS,,S. Verma
ALT-2454,CSE-03,TR-OPS-03,HIGH,sql-injection,SQL syntax anomaly in historian web reporting interface,Union-based SELECT payload identified in user parameter field,2026-08-02T11:37:00+05:30,2026-08-02T11:55:00+05:30,2026-08-02T19:19:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,R. Iyer
ALT-2455,CSE-01,ENG-WRK-07,MEDIUM,port-scan,SYN sweep detected across substation network segment,Half-open SYN packets rapidly received across 1-1024 port range,2026-07-08T16:43:00+05:30,2026-07-08T16:58:00+05:30,,IN_PROGRESS,,P. Nair
ALT-2456,CSE-01,RTU-SUB-01,HIGH,sql-injection,Malformed query string on engineering portal,HTTP request to internal web portal contained SQL injection syntax,2026-07-20T08:58:00+05:30,2026-07-20T09:08:00+05:30,,IN_PROGRESS,,P. Nair
ALT-2457,CSE-02,EN-SCADA-04,HIGH,sql-injection,SQL syntax anomaly in historian web reporting interface,Union-based SELECT payload identified in user parameter field,2026-07-30T04:09:00+05:30,,,OPEN,,
ALT-2458,CSE-02,,MEDIUM,xss,Suspicious script payload in web form submission,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-07-08T10:38:00+05:30,2026-07-08T10:50:00+05:30,2026-07-08T17:52:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,P. Nair
ALT-2459,CSE-03,,HIGH,sql-injection,Blind SQL injection heuristic triggered on API gateway,Time-delay SQL injection signature matched in asset query request,2026-07-17T06:38:00+05:30,2026-07-17T06:50:00+05:30,2026-07-17T10:24:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,S. Verma
ALT-2460,CSE-03,,MEDIUM,xss,Cross-site scripting vector identified in operator console,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-07-24T17:56:00+05:30,,,OPEN,,
ALT-2461,CSE-02,PL-PLC-09,CRITICAL,brute-force,Multiple RDP failed logons on historian node,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-07-28T02:09:00+05:30,2026-07-28T02:33:00+05:30,,IN_PROGRESS,,R. Iyer
ALT-2462,CSE-04,,HIGH,sql-injection,Malformed query string on engineering portal,Union-based SELECT payload identified in user parameter field,2026-08-07T02:41:00+05:30,2026-08-07T03:05:00+05:30,,ACKNOWLEDGED,,P. Nair
ALT-2463,CSE-04,EN-SCADA-04,CRITICAL,exploit-attempt,Remote code execution string identified in Modbus/TCP stream,Malicious byte sequence designed to trigger stack corruption detected,2026-08-01T10:55:00+05:30,2026-08-01T11:19:00+05:30,2026-08-01T18:48:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,S. Verma
ALT-2464,CSE-07,EN-SCADA-04,MEDIUM,port-scan,Distributed reconnaissance probing OT gateway,Stealth FIN scan detected targeting SCADA network perimeter,2026-07-24T07:00:00+05:30,2026-07-24T07:22:00+05:30,,ACKNOWLEDGED,,K. Rao
ALT-2465,CSE-01,GATEWAY-DMZ-01,CRITICAL,credential-stuffing,High-volume login attempts using leaked credentials,Automated login attempts observed across multiple accounts,2026-07-12T14:57:00+05:30,2026-07-12T15:06:00+05:30,,IN_PROGRESS,,K. Rao
ALT-2466,CSE-07,RTU-SUB-01,HIGH,exploit-attempt,Buffer overflow probe targeting legacy PLC firmware,Packet structure matched signature for CVE-2023 remote execution attempt,2026-08-03T22:08:00+05:30,2026-08-03T22:14:00+05:30,2026-08-04T04:46:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,P. Nair
ALT-2467,CSE-01,HIST-SRV-01,LOW,c2,Beaconing traffic to known suspicious external IP,Persistent TLS session established to unclassified external endpoint,2026-07-14T13:59:00+05:30,2026-07-14T14:10:00+05:30,,IN_PROGRESS,,S. Verma
ALT-2468,CSE-04,PL-PLC-12,HIGH,exploit-attempt,Exploit payload targeting known CVE on exposed service,Malicious byte sequence designed to trigger stack corruption detected,2026-07-28T17:26:00+05:30,2026-07-28T17:30:00+05:30,,IN_PROGRESS,,S. Verma
ALT-2469,CSE-01,TR-OPS-03,LOW,brute-force,Multiple RDP failed logons on historian node,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-07-19T05:40:00+05:30,2026-07-19T05:47:00+05:30,2026-07-19T09:08:00+05:30,CLOSED,False positive - verified scheduled maintenance,K. Rao
ALT-2470,CSE-04,,MEDIUM,xss,Stored XSS pattern detected in system event log comments,Web application firewall flagged embedded script tags in input fields,2026-07-16T14:50:00+05:30,2026-07-16T15:04:00+05:30,2026-07-16T16:04:00+05:30,RESOLVED,Compromised host isolated and imaged,K. Rao
ALT-2471,CSE-02,,CRITICAL,c2,Encrypted reverse shell communication from maintenance workstation,Periodic low-volume outbound connections at fixed intervals,2026-07-17T12:01:00+05:30,2026-07-17T12:25:00+05:30,,IN_PROGRESS,,R. Iyer
ALT-2472,CSE-05,TR-OPS-03,HIGH,sql-injection,Malformed query string on engineering portal,Union-based SELECT payload identified in user parameter field,2026-07-13T07:43:00+05:30,2026-07-13T08:06:00+05:30,,IN_PROGRESS,,P. Nair
ALT-2473,CSE-05,ENG-WRK-02,CRITICAL,c2,Encrypted reverse shell communication from maintenance workstation,Periodic low-volume outbound connections at fixed intervals,2026-07-23T23:16:00+05:30,2026-07-23T23:32:00+05:30,,IN_PROGRESS,,K. Rao
ALT-2474,CSE-02,HIST-SRV-01,MEDIUM,port-scan,SYN sweep detected across substation network segment,Sequential low-byte TCP connections observed across multiple ports,2026-07-18T23:50:00+05:30,2026-07-18T23:55:00+05:30,,IN_PROGRESS,,A. Sharma
ALT-2475,CSE-03,TR-OPS-14,CRITICAL,c2,Beaconing traffic to known suspicious external IP,Persistent TLS session established to unclassified external endpoint,2026-07-25T14:21:00+05:30,2026-07-25T14:28:00+05:30,2026-07-25T23:24:00+05:30,RESOLVED,Compromised host isolated and imaged,K. Rao
ALT-2476,CSE-07,PL-PLC-09,HIGH,sql-injection,Malformed query string on engineering portal,HTTP request to internal web portal contained SQL injection syntax,2026-07-22T10:51:00+05:30,2026-07-22T11:12:00+05:30,2026-07-22T12:30:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,R. Iyer
ALT-2477,CSE-04,TR-OPS-14,CRITICAL,xss,Cross-site scripting vector identified in operator console,Reflected DOM manipulation attempt flagged in HTTP GET request,2026-07-30T12:20:00+05:30,2026-07-30T12:44:00+05:30,2026-07-30T20:39:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,A. Sharma
ALT-2478,CSE-01,EN-SCADA-01,MEDIUM,xss,Cross-site scripting vector identified in operator console,Web application firewall flagged embedded script tags in input fields,2026-08-01T14:27:00+05:30,2026-08-01T14:34:00+05:30,,IN_PROGRESS,,P. Nair
ALT-2479,CSE-05,,MEDIUM,port-scan,SYN sweep detected across substation network segment,Stealth FIN scan detected targeting SCADA network perimeter,2026-07-24T19:57:00+05:30,2026-07-24T20:00:00+05:30,2026-07-25T04:13:00+05:30,CLOSED,Patched and verified,P. Nair
ALT-2480,CSE-01,RTU-SUB-01,LOW,ddos,SYN flood exhausting SCADA telecontrol interface,High packet-per-second SYN burst causing connection pool exhaustion,2026-07-23T23:59:00+05:30,,,OPEN,,
ALT-2481,CSE-01,RTU-SUB-01,HIGH,xss,Stored XSS pattern detected in system event log comments,Reflected DOM manipulation attempt flagged in HTTP GET request,2026-08-05T22:24:00+05:30,2026-08-05T22:31:00+05:30,2026-08-06T01:31:00+05:30,RESOLVED,Accounts locked - no compromise confirmed,A. Sharma
ALT-2482,CSE-01,ENG-WRK-07,CRITICAL,ddos,Volumetric traffic spike against signalling gateway,High packet-per-second SYN burst causing connection pool exhaustion,2026-07-21T10:53:00+05:30,2026-07-21T11:13:00+05:30,,IN_PROGRESS,,S. Verma
ALT-2483,CSE-05,TR-OPS-03,CRITICAL,sql-injection,Malformed query string on engineering portal,Union-based SELECT payload identified in user parameter field,2026-08-06T23:39:00+05:30,2026-08-07T00:03:00+05:30,,ACKNOWLEDGED,,A. Sharma
ALT-2484,CSE-02,TR-OPS-14,CRITICAL,credential-stuffing,Distributed account takeover attempts across operator accounts,Automated login attempts observed across multiple accounts,2026-08-03T09:57:00+05:30,2026-08-03T10:19:00+05:30,,IN_PROGRESS,,P. Nair
ALT-2485,CSE-04,,MEDIUM,port-scan,Sequential port scan against historian server,Half-open SYN packets rapidly received across 1-1024 port range,2026-07-31T14:26:00+05:30,2026-07-31T14:50:00+05:30,,IN_PROGRESS,,S. Verma
ALT-2486,CSE-04,,HIGH,credential-stuffing,Automated credential replay attacking telemetry API,Automated login attempts observed across multiple accounts,2026-07-28T23:59:00+05:30,2026-07-29T00:03:00+05:30,,IN_PROGRESS,,K. Rao
ALT-2487,CSE-04,PL-PLC-12,CRITICAL,c2,Periodic outbound telemetry to unverified DNS domain,Command-and-control beacon signature matched in egress traffic,2026-07-21T01:00:00+05:30,2026-07-21T01:19:00+05:30,,IN_PROGRESS,,K. Rao
ALT-2488,CSE-02,,LOW,credential-stuffing,High-volume login attempts using leaked credentials,Automated login attempts observed across multiple accounts,2026-08-05T15:12:00+05:30,2026-08-05T15:14:00+05:30,2026-08-05T18:04:00+05:30,RESOLVED,Accounts locked - no compromise confirmed,P. Nair
ALT-2489,CSE-04,EN-SCADA-01,CRITICAL,c2,Encrypted reverse shell communication from maintenance workstation,Periodic low-volume outbound connections at fixed intervals,2026-08-06T17:13:00+05:30,2026-08-06T17:20:00+05:30,,IN_PROGRESS,,S. Verma
ALT-2490,CSE-01,ENG-WRK-07,CRITICAL,ddos,UDP amplification traffic targeted at field network switch,High-bandwidth NTP/DNS reflection flood impacting telemetry transmission,2026-07-15T16:02:00+05:30,,,OPEN,,
ALT-2491,CSE-03,RTU-SUB-01,CRITICAL,c2,Encrypted reverse shell communication from maintenance workstation,Periodic low-volume outbound connections at fixed intervals,2026-07-08T04:26:00+05:30,2026-07-08T04:43:00+05:30,,ACKNOWLEDGED,,R. Iyer
ALT-2492,CSE-02,RTU-SUB-01,HIGH,exploit-attempt,Remote code execution string identified in Modbus/TCP stream,Malicious byte sequence designed to trigger stack corruption detected,2026-07-13T14:58:00+05:30,2026-07-13T15:22:00+05:30,2026-07-13T17:58:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,R. Iyer
ALT-2493,CSE-02,GATEWAY-DMZ-01,MEDIUM,port-scan,Sequential port scan against historian server,Sequential low-byte TCP connections observed across multiple ports,2026-07-22T09:30:00+05:30,2026-07-22T09:41:00+05:30,,IN_PROGRESS,,A. Sharma
ALT-2494,CSE-04,TR-OPS-14,HIGH,sql-injection,Blind SQL injection heuristic triggered on API gateway,HTTP request to internal web portal contained SQL injection syntax,2026-08-04T21:52:00+05:30,2026-08-04T22:08:00+05:30,,ACKNOWLEDGED,,S. Verma
ALT-2495,CSE-07,PL-PLC-12,CRITICAL,sql-injection,Malformed query string on engineering portal,HTTP request to internal web portal contained SQL injection syntax,2026-07-12T16:59:00+05:30,2026-07-12T17:04:00+05:30,,ACKNOWLEDGED,,K. Rao
ALT-2496,CSE-07,GATEWAY-DMZ-01,HIGH,credential-stuffing,High-volume login attempts using leaked credentials,Automated login attempts observed across multiple accounts,2026-07-20T17:46:00+05:30,,,OPEN,,K. Rao
ALT-2497,CSE-05,HIST-SRV-01,HIGH,brute-force,Repeated authentication failures on SCADA gateway,Burst of failed authentication handshakes targeting remote access console,2026-08-04T18:10:00+05:30,2026-08-04T18:18:00+05:30,2026-08-05T01:36:00+05:30,CLOSED,False positive - verified scheduled maintenance,
ALT-2498,CSE-01,RTU-SUB-01,HIGH,exploit-attempt,Exploit payload targeting known CVE on exposed service,Malicious byte sequence designed to trigger stack corruption detected,2026-08-06T04:12:00+05:30,2026-08-06T04:16:00+05:30,2026-08-06T13:57:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,S. Verma
ALT-2499,CSE-03,TR-OPS-14,CRITICAL,c2,Periodic outbound telemetry to unverified DNS domain,Persistent TLS session established to unclassified external endpoint,2026-07-15T23:57:00+05:30,2026-07-16T00:01:00+05:30,2026-07-16T00:59:00+05:30,RESOLVED,Compromised host isolated and imaged,R. Iyer
ALT-2500,CSE-01,RTU-SUB-05,MEDIUM,xss,Suspicious script payload in web form submission,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-07-31T04:36:00+05:30,2026-07-31T04:58:00+05:30,,IN_PROGRESS,,
ALT-2501,CSE-05,,CRITICAL,c2,Beaconing traffic to known suspicious external IP,Persistent TLS session established to unclassified external endpoint,2026-08-01T13:19:00+05:30,2026-08-01T13:40:00+05:30,2026-08-01T16:40:00+05:30,CLOSED,False positive - verified scheduled maintenance,R. Iyer
ALT-2502,CSE-03,EN-SCADA-04,MEDIUM,xss,Stored XSS pattern detected in system event log comments,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-07-25T22:01:00+05:30,2026-07-25T22:23:00+05:30,2026-07-25T23:53:00+05:30,CLOSED,False positive - verified scheduled maintenance,
ALT-2503,CSE-04,RTU-SUB-01,HIGH,brute-force,SSH credential brute force against engineering server,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-07-28T18:27:00+05:30,2026-07-28T18:48:00+05:30,2026-07-28T20:08:00+05:30,CLOSED,False positive - verified scheduled maintenance,
ALT-2504,CSE-07,PL-PLC-09,MEDIUM,port-scan,Sequential port scan against historian server,Stealth FIN scan detected targeting SCADA network perimeter,2026-07-08T15:38:00+05:30,2026-07-08T15:55:00+05:30,,ACKNOWLEDGED,,S. Verma
ALT-2505,CSE-05,RTU-SUB-05,HIGH,sql-injection,Blind SQL injection heuristic triggered on API gateway,Union-based SELECT payload identified in user parameter field,2026-07-13T12:11:00+05:30,,,OPEN,,
ALT-2506,CSE-04,RTU-SUB-05,MEDIUM,port-scan,Distributed reconnaissance probing OT gateway,Stealth FIN scan detected targeting SCADA network perimeter,2026-07-11T15:25:00+05:30,2026-07-11T15:41:00+05:30,2026-07-12T00:53:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,R. Iyer
ALT-2507,CSE-04,PL-PLC-09,HIGH,credential-stuffing,High-volume login attempts using leaked credentials,WAF detected bot-driven authentication cycling from rotating source IPs,2026-07-13T09:13:00+05:30,2026-07-13T09:38:00+05:30,,ACKNOWLEDGED,,K. Rao
ALT-2508,CSE-01,EN-SCADA-02,HIGH,brute-force,SSH credential brute force against engineering server,High rate of NTLM login failures originating from untrusted subnet,2026-07-25T13:33:00+05:30,2026-07-25T13:40:00+05:30,,ACKNOWLEDGED,,R. Iyer
ALT-2509,CSE-05,,MEDIUM,xss,Cross-site scripting vector identified in operator console,Reflected DOM manipulation attempt flagged in HTTP GET request,2026-07-22T16:42:00+05:30,2026-07-22T16:46:00+05:30,,IN_PROGRESS,,K. Rao
ALT-2510,CSE-03,TR-OPS-03,HIGH,brute-force,Multiple RDP failed logons on historian node,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-07-26T09:10:00+05:30,,,OPEN,,
ALT-2511,CSE-03,HIST-SRV-01,HIGH,credential-stuffing,Distributed account takeover attempts across operator accounts,Automated login attempts observed across multiple accounts,2026-07-24T22:12:00+05:30,2026-07-24T22:23:00+05:30,,ACKNOWLEDGED,,K. Rao
ALT-2512,CSE-03,RTU-SUB-01,HIGH,exploit-attempt,Buffer overflow probe targeting legacy PLC firmware,Traffic contained a known exploit signature targeting unpatched software,2026-08-02T00:14:00+05:30,2026-08-02T00:20:00+05:30,,ACKNOWLEDGED,,R. Iyer
ALT-2513,CSE-04,EN-SCADA-01,MEDIUM,xss,Stored XSS pattern detected in system event log comments,Reflected DOM manipulation attempt flagged in HTTP GET request,2026-07-08T13:43:00+05:30,2026-07-08T13:45:00+05:30,,IN_PROGRESS,,
ALT-2514,CSE-04,HIST-SRV-01,MEDIUM,port-scan,Sequential port scan against historian server,Half-open SYN packets rapidly received across 1-1024 port range,2026-07-30T12:40:00+05:30,,,OPEN,,
ALT-2515,CSE-02,RTU-SUB-05,MEDIUM,port-scan,Sequential port scan against historian server,Stealth FIN scan detected targeting SCADA network perimeter,2026-07-26T22:25:00+05:30,2026-07-26T22:41:00+05:30,,IN_PROGRESS,,
ALT-2516,CSE-01,TR-OPS-03,HIGH,sql-injection,SQL syntax anomaly in historian web reporting interface,HTTP request to internal web portal contained SQL injection syntax,2026-08-04T01:45:00+05:30,2026-08-04T01:48:00+05:30,2026-08-04T09:55:00+05:30,CLOSED,Patched and verified,A. Sharma
ALT-2517,CSE-03,RTU-SUB-05,CRITICAL,credential-stuffing,Automated credential replay attacking telemetry API,WAF detected bot-driven authentication cycling from rotating source IPs,2026-07-22T23:36:00+05:30,2026-07-22T23:52:00+05:30,,IN_PROGRESS,,S. Verma
ALT-2518,CSE-02,EN-SCADA-04,MEDIUM,xss,Stored XSS pattern detected in system event log comments,Web application firewall flagged embedded script tags in input fields,2026-07-15T04:59:00+05:30,,,OPEN,,P. Nair
ALT-2519,CSE-03,,MEDIUM,port-scan,Sequential port scan against historian server,Half-open SYN packets rapidly received across 1-1024 port range,2026-07-22T04:00:00+05:30,2026-07-22T04:10:00+05:30,2026-07-22T06:47:00+05:30,RESOLVED,Accounts locked - no compromise confirmed,A. Sharma
ALT-2520,CSE-07,HIST-SRV-01,HIGH,brute-force,SSH credential brute force against engineering server,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-07-12T06:52:00+05:30,2026-07-12T07:05:00+05:30,,ACKNOWLEDGED,,P. Nair
ALT-2521,CSE-05,EN-SCADA-02,CRITICAL,ddos,Volumetric traffic spike against signalling gateway,Inbound byte volume exceeded baseline by over 500%,2026-07-26T12:57:00+05:30,2026-07-26T13:16:00+05:30,2026-07-26T17:57:00+05:30,RESOLVED,Accounts locked - no compromise confirmed,P. Nair
ALT-2522,CSE-01,TR-OPS-14,MEDIUM,port-scan,Sequential port scan against historian server,Sequential low-byte TCP connections observed across multiple ports,2026-07-17T03:39:00+05:30,2026-07-17T03:52:00+05:30,2026-07-17T05:50:00+05:30,RESOLVED,Compromised host isolated and imaged,K. Rao
ALT-2523,CSE-03,EN-SCADA-04,MEDIUM,brute-force,Multiple RDP failed logons on historian node,High rate of NTLM login failures originating from untrusted subnet,2026-07-13T23:55:00+05:30,,,OPEN,,
ALT-2524,CSE-03,TR-OPS-03,LOW,brute-force,Repeated authentication failures on SCADA gateway,Burst of failed authentication handshakes targeting remote access console,2026-07-27T20:22:00+05:30,2026-07-27T20:39:00+05:30,2026-07-27T21:37:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,
ALT-2525,CSE-04,PL-PLC-09,HIGH,credential-stuffing,High-volume login attempts using leaked credentials,Coordinated brute-force replay utilizing breached username/password pairs,2026-07-20T20:55:00+05:30,2026-07-20T21:01:00+05:30,2026-07-20T22:15:00+05:30,RESOLVED,Compromised host isolated and imaged,K. Rao
ALT-2526,CSE-05,RTU-SUB-01,CRITICAL,ddos,UDP amplification traffic targeted at field network switch,High packet-per-second SYN burst causing connection pool exhaustion,2026-07-10T21:51:00+05:30,,,OPEN,,A. Sharma
ALT-2527,CSE-04,PL-PLC-12,MEDIUM,xss,Stored XSS pattern detected in system event log comments,Web application firewall flagged embedded script tags in input fields,2026-07-25T13:02:00+05:30,2026-07-25T13:19:00+05:30,,IN_PROGRESS,,K. Rao
ALT-2528,CSE-04,ENG-WRK-07,HIGH,credential-stuffing,High-volume login attempts using leaked credentials,Automated login attempts observed across multiple accounts,2026-07-22T15:32:00+05:30,2026-07-22T15:41:00+05:30,2026-07-22T16:47:00+05:30,CLOSED,False positive - verified scheduled maintenance,R. Iyer
ALT-2529,CSE-04,ENG-WRK-07,LOW,xss,Suspicious script payload in web form submission,Reflected DOM manipulation attempt flagged in HTTP GET request,2026-07-19T02:39:00+05:30,2026-07-19T02:58:00+05:30,,IN_PROGRESS,,
ALT-2530,CSE-01,RTU-SUB-01,CRITICAL,c2,Beaconing traffic to known suspicious external IP,Periodic low-volume outbound connections at fixed intervals,2026-07-18T21:37:00+05:30,2026-07-18T21:49:00+05:30,2026-07-19T04:29:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,
ALT-2531,CSE-07,ENG-WRK-07,HIGH,sql-injection,Malformed query string on engineering portal,Union-based SELECT payload identified in user parameter field,2026-08-01T19:23:00+05:30,2026-08-01T19:30:00+05:30,,IN_PROGRESS,,P. Nair
ALT-2532,CSE-01,EN-SCADA-04,HIGH,brute-force,Repeated authentication failures on SCADA gateway,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-08-01T02:16:00+05:30,2026-08-01T02:18:00+05:30,2026-08-01T08:40:00+05:30,RESOLVED,Compromised host isolated and imaged,A. Sharma
ALT-2533,CSE-02,ENG-WRK-02,HIGH,sql-injection,Malformed query string on engineering portal,HTTP request to internal web portal contained SQL injection syntax,2026-07-14T20:35:00+05:30,2026-07-14T20:59:00+05:30,2026-07-14T23:45:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,K. Rao
ALT-2534,CSE-03,EN-SCADA-04,HIGH,credential-stuffing,Automated credential replay attacking telemetry API,Coordinated brute-force replay utilizing breached username/password pairs,2026-08-03T19:20:00+05:30,,,OPEN,,
ALT-2535,CSE-03,TR-OPS-14,HIGH,sql-injection,SQL syntax anomaly in historian web reporting interface,Time-delay SQL injection signature matched in asset query request,2026-07-30T07:24:00+05:30,2026-07-30T07:31:00+05:30,,IN_PROGRESS,,
ALT-2536,CSE-05,ENG-WRK-07,MEDIUM,xss,Suspicious script payload in web form submission,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-07-22T02:22:00+05:30,2026-07-22T02:28:00+05:30,,IN_PROGRESS,,A. Sharma
ALT-2537,CSE-07,EN-SCADA-01,LOW,c2,Beaconing traffic to known suspicious external IP,Persistent TLS session established to unclassified external endpoint,2026-07-22T14:49:00+05:30,2026-07-22T14:58:00+05:30,2026-07-22T17:20:00+05:30,CLOSED,Source IP null-routed at edge firewall,A. Sharma
ALT-2538,CSE-03,EN-SCADA-04,MEDIUM,xss,Cross-site scripting vector identified in operator console,Web application firewall flagged embedded script tags in input fields,2026-08-06T02:08:00+05:30,,,OPEN,,
ALT-2539,CSE-07,ENG-WRK-02,HIGH,exploit-attempt,Exploit payload targeting known CVE on exposed service,Traffic contained a known exploit signature targeting unpatched software,2026-07-11T05:17:00+05:30,2026-07-11T05:27:00+05:30,,IN_PROGRESS,,R. Iyer
ALT-2540,CSE-07,EN-SCADA-01,HIGH,brute-force,Multiple RDP failed logons on historian node,High rate of NTLM login failures originating from untrusted subnet,2026-07-15T16:56:00+05:30,2026-07-15T17:13:00+05:30,2026-07-16T00:08:00+05:30,RESOLVED,Firewall rule applied - traffic suppressed,K. Rao
ALT-2541,CSE-04,TR-OPS-03,HIGH,exploit-attempt,Remote code execution string identified in Modbus/TCP stream,Packet structure matched signature for CVE-2023 remote execution attempt,2026-07-18T09:38:00+05:30,2026-07-18T09:54:00+05:30,,ACKNOWLEDGED,,R. Iyer
ALT-2542,CSE-01,HIST-SRV-01,HIGH,brute-force,Repeated authentication failures on SCADA gateway,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-07-23T16:35:00+05:30,2026-07-23T16:49:00+05:30,,ACKNOWLEDGED,,A. Sharma
ALT-2543,CSE-07,EN-SCADA-04,MEDIUM,port-scan,Distributed reconnaissance probing OT gateway,Half-open SYN packets rapidly received across 1-1024 port range,2026-07-09T13:06:00+05:30,2026-07-09T13:28:00+05:30,2026-07-09T16:39:00+05:30,RESOLVED,Compromised host isolated and imaged,P. Nair
ALT-2544,CSE-02,EN-SCADA-02,MEDIUM,port-scan,Sequential port scan against historian server,Half-open SYN packets rapidly received across 1-1024 port range,2026-08-02T08:29:00+05:30,2026-08-02T08:39:00+05:30,2026-08-02T14:02:00+05:30,CLOSED,False positive - verified scheduled maintenance,A. Sharma
ALT-2545,CSE-01,EN-SCADA-02,CRITICAL,c2,Periodic outbound telemetry to unverified DNS domain,Periodic low-volume outbound connections at fixed intervals,2026-07-10T14:47:00+05:30,2026-07-10T14:49:00+05:30,,IN_PROGRESS,,P. Nair
ALT-2546,CSE-01,HIST-SRV-01,HIGH,exploit-attempt,Exploit payload targeting known CVE on exposed service,Traffic contained a known exploit signature targeting unpatched software,2026-07-15T21:50:00+05:30,2026-07-15T21:54:00+05:30,,IN_PROGRESS,,P. Nair
ALT-2547,CSE-01,HIST-SRV-01,CRITICAL,c2,Encrypted reverse shell communication from maintenance workstation,Command-and-control beacon signature matched in egress traffic,2026-07-12T06:47:00+05:30,2026-07-12T07:01:00+05:30,2026-07-12T10:41:00+05:30,CLOSED,False positive - verified scheduled maintenance,P. Nair
ALT-2548,CSE-03,PL-PLC-09,HIGH,exploit-attempt,Buffer overflow probe targeting legacy PLC firmware,Malicious byte sequence designed to trigger stack corruption detected,2026-07-20T02:57:00+05:30,2026-07-20T03:07:00+05:30,,ACKNOWLEDGED,,K. Rao
ALT-2549,CSE-01,TR-OPS-14,MEDIUM,port-scan,SYN sweep detected across substation network segment,Stealth FIN scan detected targeting SCADA network perimeter,2026-07-26T23:26:00+05:30,2026-07-26T23:35:00+05:30,2026-07-27T01:13:00+05:30,CLOSED,Source IP null-routed at edge firewall,K. Rao
ALT-2550,CSE-04,,MEDIUM,xss,Suspicious script payload in web form submission,Unsanitized HTML payload containing JavaScript tags blocked at gateway,2026-07-09T17:10:00+05:30,2026-07-09T17:30:00+05:30,2026-07-10T02:44:00+05:30,CLOSED,Patched and verified,R. Iyer
ALT-2551,CSE-04,PL-PLC-09,MEDIUM,sql-injection,Malformed query string on engineering portal,HTTP request to internal web portal contained SQL injection syntax,2026-07-27T09:41:00+05:30,,,OPEN,,
ALT-2552,CSE-04,PL-PLC-12,HIGH,sql-injection,SQL syntax anomaly in historian web reporting interface,Time-delay SQL injection signature matched in asset query request,2026-07-11T04:26:00+05:30,,,OPEN,,
ALT-2553,CSE-04,ENG-WRK-02,CRITICAL,ddos,Volumetric traffic spike against signalling gateway,High-bandwidth NTP/DNS reflection flood impacting telemetry transmission,2026-08-05T11:47:00+05:30,2026-08-05T12:05:00+05:30,2026-08-05T19:41:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,P. Nair
ALT-2554,CSE-02,TR-OPS-14,LOW,port-scan,SYN sweep detected across substation network segment,Stealth FIN scan detected targeting SCADA network perimeter,2026-07-23T18:50:00+05:30,2026-07-23T19:00:00+05:30,2026-07-24T02:07:00+05:30,RESOLVED,Compromised host isolated and imaged,P. Nair
ALT-2555,CSE-05,,HIGH,brute-force,SSH credential brute force against engineering server,TCP traffic on port 22 showed 40+ failed auth attempts within 60s,2026-08-05T06:32:00+05:30,2026-08-05T06:55:00+05:30,2026-08-05T14:08:00+05:30,CLOSED,Confirmed reconnaissance - source blocked,P. Nair
ALT-2556,CSE-03,RTU-SUB-01,HIGH,brute-force,SSH credential brute force against engineering server,High rate of NTLM login failures originating from untrusted subnet,2026-07-09T01:20:00+05:30,2026-07-09T01:31:00+05:30,,IN_PROGRESS,,S. Verma
ALT-2557,CSE-03,,MEDIUM,port-scan,Sequential port scan against historian server,Half-open SYN packets rapidly received across 1-1024 port range,2026-07-28T07:14:00+05:30,2026-07-28T07:24:00+05:30,,IN_PROGRESS,,
ALT-2558,CSE-04,EN-SCADA-04,MEDIUM,xss,Cross-site scripting vector identified in operator console,Reflected DOM manipulation attempt flagged in HTTP GET request,2026-07-30T04:24:00+05:30,2026-07-30T04:37:00+05:30,2026-07-30T06:06:00+05:30,CLOSED,Patched and verified,R. Iyer
